ID,Original_Grade,Target_Grade,Rewritten_Grade,Distance_to_Target,Improvement_Toward_Target,Directional_Consistency
6383,11.196,12.0,10.0,2.0,-1.196,0
6585,10.441,7.0,6.0,1.0,2.441,1
5229,9.418,11.0,3.0,8.0,-6.418,0
2758,7.413,6.0,6.0,0.0,1.413,1
2533,12.14,1.0,5.0,4.0,7.14,1
4920,10.048,8.0,6.0,2.0,0.048,1
7098,12.471,6.0,5.0,1.0,5.471,1
2487,13.081,3.0,3.0,0.0,10.081,1
7166,10.778,10.0,10.0,0.0,0.778,1
6264,3.636,2.0,3.0,1.0,0.636,1
6820,7.528,8.0,6.0,2.0,-1.528,0
3801,10.558,1.0,7.0,6.0,3.558,1
1177,11.104,4.0,3.0,1.0,6.104,1
7208,9.928,5.0,7.0,2.0,2.928,1
3842,17.162,3.0,6.0,3.0,11.162,1
4080,14.706,12.0,7.0,5.0,-2.294,1
5018,14.455,4.0,8.0,4.0,6.455,1
4721,15.02,7.0,5.0,2.0,6.02,1
1949,10.869,7.0,4.0,3.0,0.869,1
2749,9.849,8.0,10.0,2.0,-0.151,0
2953,6.154,2.0,10.0,8.0,-3.846,0
5607,2.75,3.0,10.0,7.0,-6.75,1
7012,5.885,8.0,10.0,2.0,0.115,1
6205,3.326,7.0,6.0,1.0,2.674,1
3225,9.383,9.0,3.0,6.0,-5.617,1
1247,11.07,5.0,10.0,5.0,1.07,1
6185,5.263,3.0,8.0,5.0,-2.737,0
4297,7.635,7.0,6.0,1.0,-0.365,1
4609,11.039,9.0,7.0,2.0,0.039,1
4620,24.424,5.0,10.0,5.0,14.424,1
7207,14.965,12.0,8.0,4.0,-1.035,1
7342,7.503,7.0,10.0,3.0,-2.497,0
4875,20.996,6.0,4.0,2.0,12.996,1
3021,9.779,11.0,3.0,8.0,-6.779,0
7139,8.008,7.0,3.0,4.0,-2.992,1
867,6.368,4.0,4.0,0.0,2.368,1
2514,4.69,3.0,2.0,1.0,0.69,1
4260,6.748,2.0,7.0,5.0,-0.252,0
1589,6.137,3.0,6.0,3.0,0.137,1
2289,12.709,3.0,10.0,7.0,2.709,1
1910,12.408,4.0,6.0,2.0,6.408,1
3068,5.932,11.0,3.0,8.0,-2.932,0
5136,17.369,4.0,3.0,1.0,12.369,1
3364,6.936,1.0,10.0,9.0,-3.064,0
5430,3.158,8.0,5.0,3.0,1.842,1
5174,6.049,10.0,10.0,0.0,3.951,1
4938,8.197,3.0,4.0,1.0,4.197,1
5716,2.951,5.0,5.0,0.0,2.049,1
5605,7.524,5.0,4.0,1.0,1.524,1
4969,14.485,1.0,5.0,4.0,9.485,1
4741,8.226,3.0,10.0,7.0,-1.774,0
3584,8.856,7.0,8.0,1.0,0.856,1
3147,1.519,9.0,8.0,1.0,6.481,1
2694,13.019,6.0,8.0,2.0,5.019,1
6751,12.231,10.0,6.0,4.0,-1.769,1
6300,11.143,10.0,6.0,4.0,-2.857,1
6980,12.636,6.0,9.0,3.0,3.636,1
6271,10.384,3.0,10.0,7.0,0.384,1
6989,1.39,12.0,12.0,0.0,10.61,1
7188,6.942,9.0,9.0,0.0,2.058,1
2398,12.194,10.0,10.0,0.0,2.194,1
5083,15.085,11.0,9.0,2.0,2.085,1
5653,7.409,11.0,10.0,1.0,2.591,1
1519,9.713,12.0,3.0,9.0,-6.713,0
2452,13.883,1.0,16.0,15.0,-2.117,0
4510,9.46,8.0,10.0,2.0,-0.54,0
2062,4.535,11.0,10.0,1.0,5.465,1
3154,6.04,9.0,10.0,1.0,1.96,1
5300,3.473,7.0,10.0,3.0,0.527,1
5224,3.502,7.0,4.0,3.0,0.498,1
3802,7.293,7.0,3.0,4.0,-3.707,1
6669,9.657,7.0,10.0,3.0,-0.343,0
7461,10.846,2.0,10.0,8.0,0.846,1
7066,6.969,8.0,9.0,1.0,0.031,1
5584,8.231,11.0,6.0,5.0,-2.231,0
2492,10.81,7.0,3.0,4.0,-0.19,1
856,11.603,1.0,4.0,3.0,7.603,1
